                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3847,                 3.3438,                 2.7125,                 0.3793,                 0.1224,                0.09184,                0.04515,                 2.1345,                 3.0438,                  2.665,             0.00035755,             0.00035755,             0.00035755
                     36,                 2.3919,                  3.452,                 2.7469,                0.29513,                0.18769,                0.09043,                0.04488,                 2.1497,                 3.1213,                 2.6089,             0.00035718,             0.00035718,             0.00035718
                     37,                 2.3553,                 3.2922,                  2.661,                0.34302,                0.16883,                0.08251,                0.03793,                 2.1538,                 3.2226,                 2.5907,             0.00035681,             0.00035681,             0.00035681
                     38,                 2.2794,                 3.3346,                  2.642,                0.54824,                0.12649,                0.09711,                0.04723,                 2.0863,                 3.0861,                 2.5208,             0.00035645,             0.00035645,             0.00035645
                     39,                 2.2593,                 3.2729,                 2.6421,                0.33926,                0.18545,                0.11488,                0.05712,                 2.0356,                 2.9164,                 2.4589,             0.00035608,             0.00035608,             0.00035608
                     40,                 2.2509,                 3.2475,                 2.5913,                0.32968,                0.19397,                0.11499,                0.05507,                 2.0153,                 2.9325,                 2.4959,             0.00035571,             0.00035571,             0.00035571
                     41,                 2.2157,                 3.1841,                 2.5696,                0.31511,                0.20622,                0.11283,                0.05315,                 2.0067,                 2.9606,                 2.4698,             0.00035535,             0.00035535,             0.00035535
                     42,                 2.2155,                 3.2534,                 2.5564,                0.24971,                0.19668,                0.12273,                0.05828,                 2.0378,                 2.8357,                 2.4506,             0.00035498,             0.00035498,             0.00035498
                     43,                 2.1346,                 3.1047,                 2.4751,                0.27301,                0.19516,                 0.1282,                 0.0634,                  1.954,                 2.8755,                 2.4084,             0.00035462,             0.00035462,             0.00035462
                     44,                 2.1642,                 3.1795,                 2.5286,                0.33971,                0.19566,                0.13817,                0.07134,                  1.963,                 2.7729,                 2.4131,             0.00035425,             0.00035425,             0.00035425
                     45,                  2.181,                 3.0881,                 2.4811,                0.27942,                0.19244,                0.13617,                0.06853,                 1.9569,                 2.7401,                  2.397,             0.00035388,             0.00035388,             0.00035388
                     46,                 2.1662,                 3.1066,                 2.4473,                0.30051,                0.21386,                0.13288,                0.06686,                 1.9456,                 2.8303,                 2.3715,             0.00035352,             0.00035352,             0.00035352
                     47,                 2.1172,                 3.0395,                 2.4107,                 0.2888,                0.27575,                0.13975,                0.06824,                 1.9061,                 3.0085,                 2.3302,             0.00035315,             0.00035315,             0.00035315
                     48,                 2.0566,                 3.0689,                 2.4079,                0.33192,                0.24294,                0.16331,                0.08435,                 1.8481,                 2.6671,                 2.2742,             0.00035278,             0.00035278,             0.00035278
                     49,                  2.026,                 2.9531,                 2.3765,                0.39599,                0.19669,                0.16497,                0.08653,                 1.8406,                 2.6511,                 2.2851,             0.00035242,             0.00035242,             0.00035242
                     50,                 2.0512,                 2.9588,                  2.392,                0.32157,                0.23213,                0.18664,                0.09972,                 1.8437,                 2.6516,                 2.2567,             0.00035205,             0.00035205,             0.00035205
                     51,                 2.0035,                 2.9543,                 2.3521,                0.33266,                0.24872,                0.20215,                0.10995,                 1.8154,                 2.5543,                 2.2085,             0.00035169,             0.00035169,             0.00035169
                     52,                 2.0094,                 2.9098,                 2.3197,                 0.3758,                0.22024,                0.17927,                 0.0993,                 1.8236,                 2.5887,                  2.223,             0.00035132,             0.00035132,             0.00035132
                     53,                 2.0065,                 2.8893,                 2.3388,                0.24747,                0.27713,                0.17937,                 0.0956,                 1.8134,                 2.5781,                 2.2385,             0.00035095,             0.00035095,             0.00035095
                     54,                 1.9478,                 2.9269,                 2.2634,                0.26234,                0.24741,                0.17166,                0.09266,                 1.7787,                 2.6221,                  2.186,             0.00035059,             0.00035059,             0.00035059
                     55,                 1.9728,                 2.8491,                 2.2503,                0.28826,                0.25326,                0.18279,                0.09961,                 1.7542,                 2.5359,                 2.1489,             0.00035022,             0.00035022,             0.00035022
                     56,                 1.9399,                 2.8871,                 2.2554,                0.29046,                0.30396,                0.20791,                0.11514,                 1.7314,                 2.5456,                 2.1312,             0.00034985,             0.00034985,             0.00034985
                     57,                 1.9476,                 2.8376,                  2.272,                0.35376,                0.27526,                0.21633,                0.12146,                 1.7457,                 2.5112,                  2.141,             0.00034949,             0.00034949,             0.00034949
                     58,                 1.8917,                 2.7439,                 2.1866,                0.36106,                0.24639,                0.21684,                0.12202,                 1.7193,                 2.4846,                 2.1178,             0.00034912,             0.00034912,             0.00034912
                     59,                 1.8994,                 2.7795,                   2.18,                0.30439,                0.32105,                0.21538,                0.11624,                 1.7177,                 2.4662,                 2.1066,             0.00034875,             0.00034875,             0.00034875
                     60,                 1.9169,                 2.7894,                 2.1964,                0.31167,                0.31507,                0.22311,                0.12108,                 1.6799,                 2.4686,                 2.0793,             0.00034839,             0.00034839,             0.00034839
                     61,                  1.931,                 2.7858,                 2.2115,                0.32455,                0.26795,                0.21348,                0.11908,                 1.6957,                 2.5579,                 2.0843,             0.00034802,             0.00034802,             0.00034802
                     62,                 1.9112,                 2.7617,                 2.2028,                0.33021,                0.29782,                0.20557,                0.10596,                 1.7922,                 2.5147,                  2.178,             0.00034766,             0.00034766,             0.00034766
                     63,                 1.9001,                 2.8329,                 2.2012,                0.30522,                0.29044,                0.22304,                0.12485,                 1.6929,                   2.43,                 2.1038,             0.00034729,             0.00034729,             0.00034729
                     64,                 1.8304,                 2.8002,                 2.1846,                0.35322,                0.30904,                0.25023,                0.14323,                 1.6464,                 2.3438,                 2.0577,             0.00034692,             0.00034692,             0.00034692
                     65,                 1.8624,                 2.7571,                 2.2061,                0.35801,                0.28562,                0.24685,                0.14224,                 1.6273,                 2.3491,                 2.0319,             0.00034656,             0.00034656,             0.00034656
                     66,                 1.8452,                 2.7499,                 2.1586,                 0.3224,                0.30584,                0.25264,                0.14535,                   1.63,                 2.2984,                 2.0319,             0.00034619,             0.00034619,             0.00034619
                     67,                 1.8853,                 2.7973,                 2.1772,                0.33387,                0.26248,                0.23814,                0.13696,                 1.6467,                 2.3681,                 2.0379,             0.00034582,             0.00034582,             0.00034582
                     68,                 1.8276,                 2.6836,                  2.153,                0.37768,                0.36008,                0.27336,                0.15522,                 1.6255,                 2.4095,                 2.0064,             0.00034546,             0.00034546,             0.00034546
                     69,                 1.7966,                 2.7439,                 2.1589,                0.42312,                0.34427,                0.27219,                 0.1594,                 1.5837,                 2.3493,                 1.9906,             0.00034509,             0.00034509,             0.00034509
                     70,                 1.7653,                 2.6194,                  2.083,                0.38167,                0.34062,                0.26999,                0.15992,                 1.5776,                 2.3135,                 1.9805,             0.00034473,             0.00034473,             0.00034473
                     71,                 1.7672,                 2.6679,                  2.116,                0.38295,                0.36672,                0.28539,                0.15926,                 1.6608,                 2.2817,                 2.0501,             0.00034436,             0.00034436,             0.00034436
                     72,                 1.7611,                 2.5941,                 2.0852,                0.30517,                0.37379,                0.28233,                0.15834,                 1.5623,                 2.3117,                  1.959,             0.00034399,             0.00034399,             0.00034399
                     73,                 1.7663,                 2.6239,                 2.0968,                0.37768,                 0.3381,                0.29191,                0.16408,                 1.5864,                 2.2646,                 1.9779,             0.00034363,             0.00034363,             0.00034363
                     74,                  1.763,                 2.5787,                 2.0697,                0.40992,                0.37019,                0.31973,                0.18199,                 1.5724,                 2.2054,                 1.9599,             0.00034326,             0.00034326,             0.00034326
                     75,                 1.7745,                 2.5885,                 2.0862,                0.37676,                 0.3747,                0.31452,                0.18073,                 1.5713,                 2.1779,                 1.9473,             0.00034289,             0.00034289,             0.00034289
                     76,                   1.81,                 2.6597,                 2.1546,                0.40416,                 0.3561,                0.31248,                0.18506,                 1.5712,                 2.1715,                 1.9463,             0.00034253,             0.00034253,             0.00034253
                     77,                 1.7604,                 2.4891,                 2.0493,                0.42234,                0.39569,                0.32578,                0.19106,                 1.5531,                 2.1799,                 1.9217,             0.00034216,             0.00034216,             0.00034216
                     78,                 1.8014,                 2.5195,                 2.0839,                 0.3734,                0.36359,                0.30983,                0.17437,                 1.6061,                 2.2051,                 1.9587,             0.00034179,             0.00034179,             0.00034179
                     79,                 1.7215,                 2.4363,                 1.9956,                0.38948,                0.37027,                0.32171,                0.18677,                 1.5218,                 2.1157,                 1.8984,             0.00034143,             0.00034143,             0.00034143
                     80,                 1.7847,                 2.5331,                 2.0554,                0.39058,                0.36851,                0.32545,                0.19331,                 1.5402,                  2.201,                 1.9308,             0.00034106,             0.00034106,             0.00034106
                     81,                 1.7439,                  2.494,                  2.019,                0.44961,                0.37057,                 0.3309,                0.19368,                 1.5549,                  2.153,                 1.9092,              0.0003407,              0.0003407,              0.0003407
                     82,                  1.765,                 2.4776,                 2.0289,                0.42349,                0.35223,                0.31401,                0.18057,                 1.5634,                 2.2755,                 1.9317,             0.00034033,             0.00034033,             0.00034033
                     83,                 1.7029,                 2.3875,                 2.0293,                0.47549,                0.35153,                0.34903,                0.20635,                  1.515,                 2.0537,                 1.8848,             0.00033996,             0.00033996,             0.00033996
                     84,                 1.7307,                 2.4929,                 2.0184,                0.47041,                0.40612,                0.37513,                0.21564,                 1.5611,                 2.1588,                 1.9254,              0.0003396,              0.0003396,              0.0003396
                     85,                 1.6787,                 2.3986,                 1.9688,                0.48327,                0.41196,                0.38461,                0.22996,                 1.5079,                 2.0585,                 1.8643,             0.00033923,             0.00033923,             0.00033923
                     86,                 1.7047,                 2.4397,                 1.9772,                0.44846,                0.40244,                0.37525,                0.21777,                 1.4945,                 2.1049,                 1.8806,             0.00033886,             0.00033886,             0.00033886
                     87,                 1.6768,                 2.4881,                 1.9907,                0.43692,                0.39697,                0.36234,                0.21201,                 1.4834,                 2.0123,                 1.8538,              0.0003385,              0.0003385,              0.0003385
                     88,                 1.6761,                 2.5074,                 1.9942,                0.48613,                0.36516,                0.36967,                0.21792,                 1.4652,                  2.044,                 1.8643,             0.00033813,             0.00033813,             0.00033813
                     89,                 1.6673,                 2.4761,                 1.9897,                0.40546,                0.38347,                0.37765,                0.22265,                  1.476,                 2.1259,                 1.8702,             0.00033777,             0.00033777,             0.00033777
                     90,                 1.6945,                 2.4087,                   1.98,                0.44516,                0.42127,                0.40974,                0.24372,                 1.4507,                 2.1171,                 1.8272,              0.0003374,              0.0003374,              0.0003374
                     91,                 1.6441,                 2.3832,                 1.9608,                0.46015,                0.38167,                0.39495,                 0.2349,                 1.4574,                 1.9658,                 1.8259,             0.00033703,             0.00033703,             0.00033703
                     92,                 1.6952,                 2.4012,                 1.9947,                0.41581,                0.42969,                0.38585,                0.23083,                 1.4684,                 2.0585,                 1.8403,             0.00033667,             0.00033667,             0.00033667
                     93,                 1.6207,                 2.3979,                 1.9153,                0.45325,                 0.4394,                0.40405,                0.24327,                 1.4514,                  1.988,                 1.8294,              0.0003363,              0.0003363,              0.0003363
                     94,                 1.6577,                 2.4045,                 1.9666,                0.42433,                0.43076,                0.40602,                0.24492,                 1.4507,                 1.9803,                 1.8164,             0.00033593,             0.00033593,             0.00033593
                     95,                 1.6541,                 2.4763,                 1.9905,                0.44462,                0.40921,                0.37399,                0.22231,                 1.4467,                 1.9927,                 1.8319,             0.00033557,             0.00033557,             0.00033557
                     96,                 1.6354,                 2.4413,                 1.9794,                 0.4279,                0.41445,                0.39137,                0.23782,                 1.4296,                 1.9798,                 1.8131,              0.0003352,              0.0003352,              0.0003352
                     97,                 1.6526,                 2.3574,                 1.9101,                0.46145,                 0.3867,                0.38274,                0.22774,                 1.4674,                 1.9754,                 1.8381,             0.00033484,             0.00033484,             0.00033484
                     98,                 1.6115,                 2.4401,                 1.9356,                0.47525,                0.40556,                0.40008,                0.23768,                 1.4405,                 1.9083,                 1.8136,             0.00033447,             0.00033447,             0.00033447
